model,T_test,t,rmse_t_mean,rmse_t_std
DeepONet,4.0,3.9365079365079363,0.17488265335559844,0.024219857890718715
DeepONet,4.0,4.0,0.17643652558326722,0.022424497442417732
DeepONet,6.0,0.0,0.003128098649904132,0.00017150270311539997
DeepONet,6.0,0.09523809523809523,0.0035522612277418377,0.00023890331100575723
DeepONet,6.0,0.19047619047619047,0.010309553146362305,0.0005078809506303509
DeepONet,6.0,0.2857142857142857,0.021635767444968222,0.0011758687134115562
DeepONet,6.0,0.38095238095238093,0.03441278859972954,0.0019819435007997497
DeepONet,6.0,0.47619047619047616,0.04738385230302811,0.002560774798627848
DeepONet,6.0,0.5714285714285714,0.06007048860192299,0.002951718685476336
DeepONet,6.0,0.6666666666666666,0.07274282872676849,0.0034964838894340658
DeepONet,6.0,0.7619047619047619,0.08504723161458969,0.004500587335016419
DeepONet,6.0,0.8571428571428571,0.09678444266319275,0.006186417435059043
DeepONet,6.0,0.9523809523809523,0.10735119879245758,0.008234482311791826
DeepONet,6.0,1.0476190476190474,0.116477632522583,0.010367097373328159
DeepONet,6.0,1.1428571428571428,0.1239814043045044,0.012194375762639377
DeepONet,6.0,1.2380952380952381,0.13013399243354798,0.013710666646734487
DeepONet,6.0,1.3333333333333333,0.13521513789892198,0.015019854710861607
DeepONet,6.0,1.4285714285714284,0.13946487307548522,0.015957550495558376
DeepONet,6.0,1.5238095238095237,0.14275088608264924,0.016194199286415734
DeepONet,6.0,1.619047619047619,0.14505836069583894,0.0158039552869193
DeepONet,6.0,1.7142857142857142,0.14631349444389344,0.015057384285324377
DeepONet,6.0,1.8095238095238093,0.14646254181861879,0.01423989918416993
DeepONet,6.0,1.9047619047619047,0.14540552496910095,0.013372336801224217
DeepONet,6.0,2.0,0.14358467161655425,0.01235198625546899
DeepONet,6.0,2.095238095238095,0.14141601622104644,0.01114694375886603
DeepONet,6.0,2.1904761904761902,0.13924908638000488,0.009728101815033112
DeepONet,6.0,2.2857142857142856,0.1371222496032715,0.00808488828712581
DeepONet,6.0,2.380952380952381,0.13492611050605774,0.00619999908383992
DeepONet,6.0,2.4761904761904763,0.1330159842967987,0.005136247706856132
DeepONet,6.0,2.571428571428571,0.13207975178956985,0.00659658803494374
DeepONet,6.0,2.6666666666666665,0.13254483193159103,0.0094980313341265
DeepONet,6.0,2.761904761904762,0.13428335934877395,0.012365017651132595
DeepONet,6.0,2.8571428571428568,0.1368226572871208,0.015068438541609667
DeepONet,6.0,2.952380952380952,0.1397555187344551,0.01761507906569204
DeepONet,6.0,3.0476190476190474,0.1430276557803154,0.02033286541058785
DeepONet,6.0,3.142857142857143,0.14653757214546204,0.023243600815623388
DeepONet,6.0,3.238095238095238,0.1502722457051277,0.02606238961240908
DeepONet,6.0,3.333333333333333,0.1540205791592598,0.028543371063694808
DeepONet,6.0,3.4285714285714284,0.15770428031682968,0.030535706173000325
DeepONet,6.0,3.5238095238095237,0.16113533824682236,0.032159725096419525
DeepONet,6.0,3.6190476190476186,0.16441445648670197,0.033560475904084966
DeepONet,6.0,3.714285714285714,0.16752833127975464,0.03465268506723438
DeepONet,6.0,3.8095238095238093,0.17060736417770386,0.034995961301347786
DeepONet,6.0,3.9047619047619047,0.17380423545837403,0.03423898346992845
DeepONet,6.0,4.0,0.17708674669265748,0.03220171484038095
DeepONet,6.0,4.095238095238095,0.18023192286491393,0.02897057130721637
DeepONet,6.0,4.19047619047619,0.18292955458164215,0.024817304706789303
